city,state,long,lat,value
Aberdeen,NC,-79.42,35.16,1
Aberdeen,SD,-98.44,45.46,2
Aberdeen,WA,-123.81,46.975,2
Abilene,TX,-99.73,32.4266666666667,6
Abingdon,MD,-76.32,39.46,2
Abington,MA,-70.93,42.11,1
Abington,PA,-75.105,40.11,2
Absecon,NJ,-74.49,39.46,1
Accokeek,MD,-77.02,38.66,1
Acton,MA,-71.45,42.47,1
Acworth,GA,-84.69,34.04,2
Addison,IL,-88.03,41.95,1
Addison,TX,-96.8366666666667,32.9466666666667,3
Adelanto,CA,-117.4,34.51,1
Adrian,MI,-84.03,41.87,1
Affton,MO,-90.33,38.55,1
Agoura,CA,-118.76,34.16,1
Agoura Hills,CA,-118.76,34.15,1
Ahaheim,CA,-117.75,33.87,1
Aiea,HI,-157.938,21.382,5
Aiken,SC,-81.7366666666667,33.54,3
Airway Heights,WA,-117.56,47.64,1
Akron,OH,-81.55,41.079,10
Alabaster,AL,-86.8133333333333,33.22,3
Alameda,CA,-122.258571428571,37.7714285714286,7
Alamo,CA,-122.03,37.85,2
Alamogordo,NM,-105.95,32.9,1
Alamosa,CO,-105.88,37.47,1
Albany,CA,-122.31,37.88,1
Albany,GA,-84.2,31.6066666666667,3
Albany,NY,-73.8127272727273,42.69,11
Albany,OR,-123.088,44.634,5
Albuquerque,NM,-106.594054054054,35.1272972972973,37
Alcoa,TN,-83.985,35.81,2
Aldie,VA,-77.55,38.94,1
Alexandria,LA,-92.465,31.275,2
Alexandria,MN,-95.39,45.85,1
Alexandria,VA,-77.084,38.7948,25
Algonquin,IL,-88.3166666666667,42.1633333333333,3
Alhambra,CA,-118.135,34.085,6
Aliso Viejo,CA,-117.7175,33.575,4
Allen,TX,-96.6744444444444,33.1055555555556,9
Allen Park,MI,-83.215,42.28,2
Allendale,MI,-85.915,42.965,2
Allendale,NJ,-74.13,41.03,1
Allentown,PA,-75.4985714285714,40.6028571428571,7
Alliance,OH,-81.15,40.9,1
Alma,MI,-84.67,43.38,1
Aloha,OR,-122.865,45.51,2
Alpharetta,GA,-84.2752941176471,34.0617647058824,17
Alpine,CA,-116.75,32.83,1
Altamonte Springs,FL,-81.3916666666667,28.6683333333333,6
Altoona,IA,-93.5,41.64,2
Alvin,TX,-95.24,29.415,2
Amarillo,TX,-101.885,35.1875,4
Amelia,OH,-84.23,39.04,1
American Canyon,CA,-122.25,38.175,2
American Fork,UT,-111.79,40.37,1
Ames,IA,-93.634,42.02,5
Amherst,MA,-72.52,42.38,1
Amherst,NY,-78.796,42.994,5
Amherst,OH,-82.23,41.3933333333333,3
Amityville,NY,-73.42,40.685,2
Amsterdam,NY,-74.19,42.96,1
Anacortes,WA,-122.61,48.51,2
Anaheim,CA,-117.900526315789,33.8284210526316,19
Anaheim Hills,CA,-117.7775,33.855,4
Anchorage,AK,-149.85625,61.1783333333333,24
Anderson,CA,-122.29,40.44,2
Anderson,IN,-85.655,40.105,2
Anderson,SC,-82.655,34.54,2
Andover,KS,-97.13,37.7,1
Andover,MA,-71.14,42.66,1
Andover,MN,-93.32,45.22,1
Andrews Afb,MD,-76.88,38.82,1
Angels Camp,CA,-120.56,38.08,1
Ankeny,IA,-93.595,41.715,4
Ann Arbor,MI,-83.7442857142857,42.265,14
Ann Arbor East,MI,-83.68,42.24,1
Annandale,VA,-77.19,38.82,2
Annapolis,MD,-76.529,38.984,10
Anoka,MN,-93.36,45.21,1
Ansonia,CT,-73.08,41.34,1
Antelope,CA,-121.37,38.71,1
Anthem,AZ,-112.133333333333,33.85,3
Antioch,CA,-121.784285714286,37.98,7
Antioch,TN,-86.66,36.05,1
Apache Junction,AZ,-111.56,33.415,2
Apex,NC,-78.85,35.74,3
Apopka,FL,-81.455,28.66,2
Apple Valley,CA,-117.23,34.4975,4
Apple Valley,MN,-93.195,44.725,2
Appleton,WI,-88.4275,44.2675,4
Aptos,CA,-121.905,36.98,2
Arcadia,CA,-118.045,34.1283333333333,6
Arden,NC,-82.54,35.47,2
Arden Hills,MN,-93.15,45.06,1
Ardmore,OK,-97.17,34.19,1
Ardmore,PA,-75.29,40.01,1
Ardsley,NY,-73.85,41.01,1
Arkadelphia,AR,-93.06,34.13,1
Arlington,MA,-71.17,42.42,2
Arlington,TX,-97.131875,32.70875,16
Arlington,VA,-77.0792,38.8744,25
Arlington,WA,-122.163333333333,48.16,3
Arlington Heights,IL,-87.99,42.0825,4
Arnold,MD,-76.5,39.03,1
Arnold,MO,-90.385,38.425,2
Arroyo Grande,CA,-120.6,35.125,2
Artesia,CA,-118.08,33.87,1
Arvada,CO,-105.09,39.8222222222222,9
Arvin,CA,-118.94,34.99,1
Ashburn,VA,-77.498,39.038,5
Asheville,NC,-82.5507692307692,35.5630769230769,13
Ashland,KY,-82.64,38.48,1
Ashland,OH,-82.26,40.86,1
Ashland,OR,-122.69,42.195,2
Ashland,VA,-77.47,37.76,1
Ashwaubenon,WI,-88.08,44.47,1
Aspen,CO,-106.82,39.19,1
Astoria,NY,-73.92,40.766,5
Astoria,OR,-123.81,46.19,1
Atascadero,CA,-120.68,35.51,2
Atascocita,TX,-95.17,30,1
Athens,AL,-86.95,34.78,1
Athens,GA,-83.3942857142857,33.9485714285714,7
Athens,OH,-82.07,39.34,1
Athens,TN,-84.61,35.45,1
Athol,MA,-72.19,42.58,1
Atlanta,GA,-84.3831746031746,33.812380952381,63
Atlantic City,NJ,-74.436,39.36,5
Atwater,CA,-120.6,37.3466666666667,3
Auburn,AL,-85.4766666666667,32.6066666666667,3
Auburn,CA,-121.0825,38.9425,8
Auburn,IN,-85.07,41.37,1
Auburn,MA,-71.84,42.2,1
Auburn,ME,-70.23,44.12,1
Auburn,WA,-122.225714285714,47.2857142857143,7
Auburn Hills,MI,-83.2966666666667,42.7033333333333,3
Augusta,GA,-82.0711111111111,33.4866666666667,9
Augusta,ME,-69.81,44.315,2
Aurora,CO,-104.794,39.6588,25
Aurora,IL,-88.28,41.78,8
Aurora,MO,-93.72,36.97,1
Aurora,OH,-81.39,41.35,1
Austell,GA,-84.58,33.86,1
Austin,TX,-97.7755,30.3008333333333,60
Austintown,OH,-80.77,41.12,1
Aventura,FL,-80.145,25.9525,4
Avon,CO,-106.495,39.62,4
Avon,CT,-72.86,41.82,1
Avon,IN,-86.3566666666667,39.7633333333333,3
Avon,OH,-82.02,41.46,2
Avon Lake,OH,-81.99,41.49,1
Avondale,AZ,-112.305,33.46,4
Aztec,NM,-107.99,36.83,1
Azusa,CA,-117.91,34.1325,4
Babylon,NY,-73.36,40.71,1
Bainbridge Island,WA,-122.52,47.64,2
Baker City,OR,-117.82,44.78,2
Bakersfield,CA,-119.061944444444,35.3616666666667,36
Bala Cynwyd,PA,-75.24,40.01,1
Balcones Heights,TX,-98.55,29.49,1
Baldwin Harbor,NY,-73.61,40.64,1
Baldwin Park,CA,-117.976,34.066,5
Ballwin,MO,-90.53,38.605,2
Baltimore,MD,-76.6139393939394,39.3024242424242,33
Bangor,ME,-68.7433333333333,44.8333333333333,3
Banning,CA,-116.925,33.925,2
Barboursville,WV,-82.29,38.4166666666667,3
Bardstown,KY,-85.47,37.83,1
Barnegat,NJ,-74.25,39.76,1
Barre,VT,-72.55,44.22,1
Barrington,IL,-88.135,42.15,2
Barrington,RI,-71.3,41.74,1
Barstow,CA,-117.053333333333,34.8633333333333,3
Bartlesville,OK,-95.935,36.73,2
Bartlett,IL,-88.21,41.95,1
Bartlett,TN,-89.84,35.21,1
Bartonville,TX,-97.13,33.08,2
Basalt,CO,-107.08,39.39,1
Basking  Ridge,NJ,-74.58,40.65,1
Bastrop,TX,-97.33,30.11,1
